Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6617109343636280870325411699,0.661710934363628,0.63768232269558,0.661710934363628,0.63768232269558,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,727823.6
0.02,0,0.6203885622251275245508808302,0.620388562225128,0.59635995055708,0.620388562225128,0.59635995055708,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,1455647
0.03,0,0.5858017801222258771219662310,0.585801780122226,0.561773168454178,0.585801780122226,0.561773168454178,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,2183471
0.04,0,0.5597750492041999216286500787,0.5597750492042,0.535746437536152,0.5597750492042,0.535746437536152,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,2911294
0.05,0,0.5397476418999855596136674185,0.539747641899986,0.515719030231938,0.539747641899986,0.515719030231938,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,3639118
0.06,0,0.5310055429904992595146576492,0.531005542990499,0.506976931322451,0.531005542990499,0.506976931322451,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,4366942
0.07,0,0.5248587792874725906918351870,0.524858779287473,0.500830167619425,0.524858779287473,0.500830167619425,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,5094766
0.08,0,0.5216380552437405211740327668,0.521638055243741,0.497609443575693,0.521638055243741,0.497609443575693,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,5822589
0.09,0,0.5185495130509973597364996204,0.518549513050997,0.494520901382949,0.518549513050997,0.494520901382949,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,6550413
0.10,0,0.5169348018460950525885241931,0.516934801846095,0.492906190178047,0.516934801846095,0.492906190178047,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,7278236
0.11,0,0.5168783917340837367663959695,0.516878391734084,0.492849780066036,0.516878391734084,0.492849780066036,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,8006060
0.12,0,0.5168220453754761442689338904,0.516822045375476,0.492793433707428,0.516822045375476,0.492793433707428,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,8733883
0.13,0,0.5167657627920726700264470737,0.516765762792073,0.492737151124025,0.516765762792073,0.492737151124025,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,9461707
0.14,0,0.5167041878470312765676663236,0.516704187847031,0.492675576178983,0.516704187847031,0.492675576178983,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,10189530
0.15,0,0.5166480328714517384772336488,0.516648032871452,0.492619421203404,0.516648032871452,0.492619421203404,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,10917360
0.16,0,0.5165919417245795666532008485,0.51659194172458,0.492563330056532,0.51659194172458,0.492563330056532,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,11645180
0.17,0,0.5165359144203865168048859271,0.516535914420386,0.492507302752339,0.516535914420386,0.492507302752339,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,12373000
0.18,0,0.5164799509709691777498168008,0.516479950970969,0.492451339302921,0.516479950970969,0.492451339302921,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,13100830
0.19,0,0.5164205983332081269339842772,0.516420598333208,0.49239198666516,0.516420598333208,0.49239198666516,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,13828650
0.20,0,0.5163647626222568066688760965,0.516364762622257,0.492336150954209,0.516364762622257,0.492336150954209,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,14556470
0.21,0,0.5163089907913872387331143646,0.516308990791387,0.492280379123339,0.516308990791387,0.492280379123339,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,15284300
0.22,0,0.5162532828454730406767677562,0.516253282845473,0.492224671177425,0.516253282845473,0.492224671177425,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,16012120
0.23,0,0.5161976387876557532608707006,0.516197638787656,0.492169027119608,0.516197638787656,0.492169027119608,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,16739940
0.24,0,0.5161420586193694401210325732,0.516142058619369,0.492113446951322,0.516142058619369,0.492113446951322,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,17467770
0.25,0,0.5160865423403734713368574617,0.516086542340374,0.492057930672326,0.516086542340374,0.492057930672326,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,18195590
0.26,0,0.5163509878754523102414850563,0.516350987875452,0.492322376207404,0.516350987875452,0.492322376207404,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,18923410
0.27,0,0.5166155169140315525152888738,0.516615516914032,0.492586905245984,0.516615516914032,0.492586905245984,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,19651240
0.28,0,0.5168800902117530920310341516,0.516880090211753,0.492851478543705,0.516880090211753,0.492851478543705,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,20379060
0.29,0,0.5171447470011709668546964130,0.517144747001171,0.493116135333123,0.517144747001171,0.493116135333123,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,21106880
0.30,0,0.5174094480348087166791461501,0.517409448034809,0.493380836366761,0.517409448034809,0.493380836366761,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,21834710
0.31,0,0.5176742325421544486907712604,0.517674232542154,0.493645620874107,0.517674232542154,0.493645620874107,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,22562530
0.32,0,0.5179390612727118230838955238,0.517939061272712,0.493910449604664,0.517939061272712,0.493910449604664,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,23290360
0.33,0,0.5182039930726202396607288427,0.51820399307262,0.494175381404572,0.51820399307262,0.494175381404572,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,24018180
0.34,0,0.5184689298295974755042234765,0.518468929829598,0.49444031816155,0.518468929829598,0.49444031816155,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,24746000
0.35,0,0.5187339892457750552746044016,0.518733989245775,0.494705377577727,0.518733989245775,0.494705377577727,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,25473830
0.36,0,0.5189990732060453779727957587,0.518999073206046,0.494970461537998,0.518999073206046,0.494970461537998,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,26201650
0.37,0,0.5192642405508924273042293761,0.519264240550892,0.495235628882844,0.519264240550892,0.495235628882844,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,26929470
0.38,0,0.5195294520213385572978784719,0.519529452021338,0.495500840353291,0.519529452021338,0.495500840353291,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,27657300
0.39,0,0.5197947468355579069869416908,0.519794746835558,0.49576613516751,0.519794746835558,0.49576613516751,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,28385120
0.40,0,0.5200600857319265739367172125,0.520060085731927,0.496031474063879,0.520060085731927,0.496031474063879,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,29112950
0.41,0,0.5203255079260141321650477168,0.520325507926014,0.496296896257966,0.520325507926014,0.496296896257966,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,29840770
0.42,0,0.5205909741536389656029163323,0.520590974153639,0.496562362485591,0.520590974153639,0.496562362485591,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,30568590
0.43,0,0.5208565040082324413084750612,0.520856504008232,0.496827892340185,0.520856504008232,0.496827892340185,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,31296420
0.44,0,0.5211221170819990308364811319,0.521122117081999,0.497093505413951,0.521122117081999,0.497093505413951,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,32024240
0.45,0,0.5213877937266950043948836847,0.521387793726695,0.497359182058647,0.521387793726695,0.497359182058647,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,32752060
0.46,0,0.5216535142928865801903786897,0.521653514292887,0.497624902624839,0.521653514292887,0.497624902624839,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,33479890
0.47,0,0.5219193179888397784131022445,0.52191931798884,0.497890706320792,0.52191931798884,0.497890706320792,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,34207710
0.48,0,0.5221851851628064923926278787,0.522185185162807,0.498156573494759,0.522185185162807,0.498156573494759,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,34935530
0.49,0,0.5224510961619097826499380128,0.52245109616191,0.498422484493862,0.52245109616191,0.498422484493862,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,35663360
0.50,0,0.5227170901910273709493954168,0.522717090191027,0.498688478522979,0.522717090191027,0.498688478522979,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,36391180
0.51,0,0.5229831279754610626406789166,0.522983127975461,0.498954516307413,0.522983127975461,0.498954516307413,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,37119000
0.52,0,0.5232492290983035558324449242,0.523249229098304,0.499220617430256,0.523249229098304,0.499220617430256,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,37846830
0.53,0,0.5235154131415905668694088470,0.523515413141591,0.499486801473543,0.523515413141591,0.499486801473543,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,38574650
0.54,0,0.5237816408274593517017814410,0.523781640827459,0.499753029159411,0.523781640827459,0.499753029159411,0,0,0,0,15.466490672485131,89.67096279228887440295104211,89.67096279228887440295104211,39302480
